"Player","Team","VAR","ADP","Pos","Site Pos","GS","W","L","T/O","SO","SV","SV%","GA","GAA","SA"
"Connor Hellebuyck","Jets","268.7"," - ","G"," - ","62","39.1","19.4","3.6","6.3","1621","0.923","135.2","2.18","1756.2"
"Andrei Vasilevskiy","Lightning","184.2"," - ","G"," - ","62","37.2","20.7","4","4.6","1642.4","0.914","154.5","2.49","1796.9"
"Jake Oettinger","Stars","144.2"," - ","G"," - ","58","36.8","15.8","5.4","2.9","1521.8","0.912","146.8","2.53","1668.6"
"Darcy Kuemper","Kings","119.2"," - ","G"," - ","55","30.6","17.2","7.2","4.6","1332.1","0.915","123.7","2.25","1455.8"
"Anthony Stolarz","Maple Leafs","118.7"," - ","G"," - ","45","25.6","13.8","5.6","4.6","1212.2","0.922","102.6","2.28","1314.7"
"Sergei Bobrovsky","Panthers","111.3"," - ","G"," - ","54","35.1","16.7","2.2","4.6","1348","0.91","133.3","2.47","1481.3"
"Igor Shesterkin","Rangers","109.2"," - ","G"," - ","58","31.8","22.5","3.6","4.8","1550.1","0.909","155.2","2.68","1705.3"
"Ilya Sorokin","Islanders","106.7"," - ","G"," - ","60","27.2","24.2","8.6","3.8","1644.2","0.911","160.6","2.68","1804.8"
"Filip Gustavsson","Wild","98.2"," - ","G"," - ","52","29","17","6","4.3","1399.5","0.912","135","2.6","1534.6"
"Mackenzie Blackwood","Avalanche","96.8"," - ","G"," - ","56","34.8","18.2","3","3.4","1412.5","0.908","143.1","2.56","1555.7"
"Dustin Wolf","Flames","80.5"," - ","G"," - ","56","28.7","19.8","7.5","2.7","1452.6","0.91","143.7","2.57","1596.2"
"Juuse Saros","Predators","72.8"," - ","G"," - ","62","31.6","24.7","5.5","3.4","1670.8","0.904","177.4","2.86","1848.3"
"Adin Hill","Knights","65.4"," - ","G"," - ","50","31.3","14.5","4.2","3.3","1271.3","0.908","128.8","2.58","1400.1"
"Linus Ullmark","Senators","50.2"," - ","G"," - ","44","25.8","15.8","2.3","3.1","1171.5","0.912","113","2.57","1284.5"
"Joey Daccord","Kraken","49.3"," - ","G"," - ","55","24.9","23","7.1","2.5","1409.4","0.909","141.1","2.57","1550.5"
"Stuart Skinner","Oilers","38"," - ","G"," - ","52","32.4","14.8","4.8","2.4","1309.5","0.903","140.7","2.71","1450.2"
"Logan Thompson","Capitals","37.2"," - ","G"," - ","45","26.8","12.5","5.7","1.8","1171.6","0.91","115.9","2.57","1287.5"
"Sam Montembeault","Canadiens","36.8"," - ","G"," - ","57","28.5","22.1","6.4","3.7","1584.4","0.902","172.1","3.02","1756.6"
"Jordan Binnington","Blues","29.1"," - ","G"," - ","56","27.7","23.3","5","2.8","1486.7","0.903","159.7","2.85","1646.4"
"Jet Greaves","Blue Jackets","17.2"," - ","G"," - ","42","20.7","16.5","5","4","1220.9","0.909","122.2","2.91","1343.1"
"John Gibson","Red Wings","14"," - ","G"," - ","45","20.9","19.6","4.5","2.1","1218.1","0.91","120.5","2.68","1338.6"
"Karel Vejmelka","Utah","13.3"," - ","G"," - ","55","28.7","19.6","6.7","1.6","1482.8","0.901","162.9","2.96","1645.7"
"Thatcher Demko","Canucks","11.9"," - ","G"," - ","48","24.1","18.9","5","3.4","1204.8","0.906","125","2.6","1329.8"
"Jeremy Swayman","Bruins","8.6"," - ","G"," - ","55","23.4","24.3","7.3","4.1","1443.1","0.903","155.6","2.83","1598.7"
"Lukas Dostal","Ducks","0"," - ","G"," - ","50","24.7","19.2","6.1","0.9","1498.4","0.902","162.3","3.25","1660.8"
