"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Nathan MacKinnon","Avalanche","462.9"," - ","C","-","77.3","39.4","81.9","121.4","14.3","38.9","29.7","9.7","30.3","40","351.4","22.8","658","56.4","45.1"
"Connor McDavid","Oilers","402.46"," - ","C","-","76.3","36.6","89.6","126.2","13.3","31.2","24.5","11.1","33.6","44.7","258.8","21.9","443.6","29.7","77.8"
"Nikita Kucherov","Lightning","397.3"," - ","RW","-","77.3","36.6","85.7","122.3","6.4","34.7","27.3","9.2","37.9","47.1","268.9","21","1.4","27.7","35.5"
"David Pastrnak","Bruins","380.87"," - ","RW","-","79.5","46.2","59.3","105.5","6.2","41.7","34.9","11.3","17.3","28.6","345.2","20.1","5.3","23","65.9"
"Leon Draisaitl","Oilers","354.55"," - ","LW","-","78","49.9","63.3","113.2","13.2","47","28.7","21.1","20.2","41.3","241.4","21.3","756.5","29.1","42.7"
"Kirill Kaprizov","Wild","308.45"," - ","LW","-","74.3","46.6","51.2","97.8","9.3","35","31.5","15.1","20","35.1","281.9","22.5","0.5","34.1","50.8"
"Auston Matthews","Maple Leafs","306.11"," - ","C","-","73.8","49.2","43.3","92.5","12.1","20.2","34","14.1","13.9","28","311.3","20.6","680.5","90.7","65.8"
"Cale Makar","Avalanche","293.25"," - ","D","-","73.5","24.2","60.5","84.7","21.2","17.1","14","8.9","25.6","34.5","223.4","25.6","0","121.9","47.9"
"Artemi Panarin","Rangers","266.28"," - ","LW","-","79.8","39.4","60","99.4","1","22.2","30.3","9.1","24.4","33.5","252.1","20.1","1.4","11.9","19.4"
"William Nylander","Maple Leafs","263.74"," - ","RW","-","82","43.1","47.1","90.2","3.6","26.1","30.8","11.3","20.4","31.7","284.5","19.7","61.2","27.6","20.7"
"Quinn Hughes","Canucks","243.22"," - ","D","-","76","15.2","68.8","84","16.4","34","11.1","4.1","29.9","34","194.7","25.7","0","64.7","21.8"
"Mikko Rantanen","Stars","226.38"," - ","RW","-","79.8","38.1","55","93.1","6.8","58.8","26.2","11.9","19.5","31.4","240.1","21.7","189.3","42.4","53.1"
"Jack Hughes","Devils","216.26"," - ","C","-","70","32.6","50.8","83.4","2.2","15.2","23.8","8.2","23.4","31.6","286.3","20.9","210.1","24.2","9.1"
"Zach Werenski","Blue Jackets","209.43"," - ","D","-","73","17.9","51.8","69.6","5.6","25.9","13.7","3.6","15.6","19.2","253.6","26.5","0","127.8","20.4"
"Evan Bouchard","Oilers","197.94"," - ","D","-","81.5","14.7","54.6","69.3","19.6","32.4","10.1","4.6","22.9","27.5","223.5","23.3","0","102.4","57.2"
"Kyle Connor","Jets","196.69"," - ","LW","-","77","37.9","46.7","84.6","2.4","18.5","29.2","7.7","18.2","25.9","260","20.7","1.5","33.9","23.3"
"Roman Josi","Predators","189.19"," - ","D","-","74.5","17.4","48.2","65.6","-9.5","34.5","11.3","6.1","20.9","27","241.5","25","0","136.8","51.8"
"Filip Forsberg","Predators","185.69"," - ","LW","-","77.7","35.2","42.5","77.7","-4.7","40.5","25.1","10.2","16.1","26.3","287.5","18.8","5.7","44.3","139.7"
"Sidney Crosby","Penguins","184.34"," - ","C","-","78.3","34.6","54.4","89","-3","36.3","24.2","10.4","14.4","24.8","239.5","20.2","996.3","37.3","75.3"
"Brady Tkachuk","Senators","182.73"," - ","LW","-","78.5","33.5","34.4","67.9","-0.8","130.5","20.4","13.2","11.2","24.4","333.6","18.7","225.6","29.8","258.5"
"Jack Eichel","Knights","168.38"," - ","C","-","71.2","29.4","52.9","82.3","11.2","14","22.3","6.5","20.6","27.1","250.1","20.5","493.1","57","30.5"
"Sam Reinhart","Panthers","168.2"," - ","RW","-","80.3","42","39.4","81.4","5.1","25.6","20.6","17.5","12.7","30.2","222.4","20.4","223.9","60","86.6"
"Rasmus Dahlin","Sabres","160.41"," - ","D","-","78","17.5","48.1","65.5","6.7","64.2","12","5.5","17","22.5","210.3","24.3","0","118.8","130.3"
"Jason Robertson","Stars","155.25"," - ","LW","-","80","34","48.7","82.8","8.6","19.1","24.6","9.4","15.7","25.1","229.4","18.1","3.4","34.6","62.5"
